"","A1.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","pooled_QC_1.mzML"
"24092_253.09_6.851",1.50498253809873e-07,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,8.99082083905755e-08,1.03045798348077e-07,3.70021060112776e-05,0.000121841579919264,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,3.05526666048212e-06
"26935_253.09_7.64",1.18385124534739e-06,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,3.58762360316839e-06,6.61837487409464e-07,8.99082083905755e-08,1.03045798348077e-07,0.000103181123662889,0.000340588921014087,1.86891395987153e-06,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,0.000280165947598089
"29899_253.09_8.334",1.50498253809873e-07,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,8.99082083905755e-08,1.05693255683136e-06,8.85262747354535e-05,0.000258970663646078,2.87042793742635e-06,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,1.42106304279105e-05
"28907_253.09_8.116",1.50498253809873e-07,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,1.06039968247371e-06,1.42627445956046e-06,0.000220201515329611,0.000707286402981092,1.18562696227959e-05,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,0.000161027531452535
"27947_253.09_7.893",1.51422415700711e-06,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,2.09318978017169e-06,2.17649822345865e-06,0.000260480376982714,0.000839946233411334,1.39666815681246e-05,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,0.000353589604891987
"26301_253.091_7.496",1.5233464034369e-06,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,1.10800740700596e-06,8.44527648523915e-07,0.000373139030012129,0.00119662111462701,1.65400132792338e-05,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,3.62405150426958e-05
"24728_253.091_7.045",1.23259432905607e-06,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,8.99082083905755e-08,7.10888606523777e-07,6.38172792226746e-05,0.000336213573115774,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,7.4273802904765e-05
"25415_253.092_7.282",5.43678310996801e-05,0.000197158319004392,4.20381898872311e-05,5.94209889183774e-05,5.24547021758562e-05,2.9087690698705e-05,5.51371470935642e-06,1.82749059069382e-05,2.24532344895532e-05,0.000139135770885992,0.00041892706112708,2.98460325669219e-07,0.000133482825506504,2.54840730959194e-05,3.27217599156009e-05,0.000121125468724671
"12229_253.108_3.653",3.87917800232095e-05,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,0.000245970100777541,0.000150743338843084,6.33368096635714e-05,9.85091443273157e-06,1.76264931815555e-05,0.000184171183324812,0.000269482527881857,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,0.000260929920941943
"13465_253.108_3.91",3.94202282371784e-05,6.53176562475255e-05,1.18277673056578e-05,5.75768814338053e-06,0.000170076002298373,0.000153619466381131,3.93450751462733e-05,2.45982676967288e-05,2.22050475132569e-05,1.76812627640402e-05,4.33207126844181e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,6.27666701639245e-05
"33939_253.137_9.309",1.50498253809873e-07,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,7.39521005658182e-07,1.03045798348077e-07,1.83624973012242e-05,5.30054988588853e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,1.04846972713855e-05
"34453_253.145_9.468",4.53490351173063e-06,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,7.45768870095029e-05,6.6385938238895e-05,6.92784328028766e-06,3.22920750157335e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,8.07046226499304e-06
