FeatureID,Mass,Retention_time,A1.mzML,A2.mzML,A3.mzML,A4.mzML,A5.mzML,A6.mzML,A7.mzML,A8.mzML,A9.mzML,A10.mzML,A11.mzML,A12.mzML,A13.mzML,A14.mzML,A15.mzML,pooled_QC_1.mzML
14219,243.07,4.058,1.50E-07,8.99E-08,1.03E-07,1.79E-05,3.91E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,1.74E-05
6982,243.087,2.58,3.33E-05,2.44E-05,1.77E-05,5.86E-05,6.99E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,8.04E-05,5.74E-05,5.60E-06,5.77E-05
7479,243.087,2.73,1.48E-05,1.57E-05,1.58E-05,2.79E-05,6.36E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,0.000190492,8.27E-05,5.60E-06,3.81E-05
10817,243.087,3.363,0.000102372,7.23E-05,2.59E-05,3.76E-05,7.32E-05,2.98E-07,9.01E-06,1.92E-06,2.76E-06,8.80E-06,1.80E-06,3.58E-06,0.000825822,0.000779819,7.87E-05,0.000249669
6421,243.088,2.429,7.94E-05,3.88E-05,3.16E-05,2.64E-05,8.77E-05,2.98E-07,2.83E-06,1.92E-06,1.14E-05,4.09E-06,1.80E-06,2.05E-06,0.000140864,0.000108477,3.70E-06,6.66E-05
8611,243.088,2.96,7.25E-05,1.20E-05,3.47E-05,3.87E-05,7.96E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,0.000102746,0.000112809,6.16E-06,0.000155621
8098,243.088,2.842,4.78E-05,5.87E-06,9.17E-06,7.54E-05,0.000122131,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,4.60E-05,4.78E-05,1.75E-06,1.38E-05
21450,243.103,6.037,4.94E-06,4.75E-06,1.33E-06,5.00E-07,9.43E-08,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,7.39E-05,1.19E-05,2.70E-05,1.50E-05
20052,243.124,5.57,0.000103745,5.14E-05,4.74E-05,1.64E-05,2.41E-05,2.98E-07,3.67E-05,1.92E-06,3.65E-05,6.36E-05,5.38E-06,2.57E-05,5.55E-05,5.80E-05,8.28E-06,8.75E-05
12514,243.124,3.713,4.14E-05,5.06E-05,1.67E-05,1.72E-05,3.15E-05,2.98E-07,1.22E-05,1.92E-06,2.76E-06,1.77E-05,2.93E-06,5.91E-06,0.000120864,9.94E-05,3.04E-05,4.46E-05
15512,243.124,4.328,0.000536922,0.000269252,0.000249035,2.49E-05,4.02E-05,3.40E-06,0.000196041,2.99E-05,9.80E-05,0.000579736,0.000146301,0.000131557,0.000245446,0.000168347,3.06E-05,0.00030787
16302,243.124,4.497,0.000118704,9.39E-05,6.02E-05,1.48E-05,1.82E-05,2.98E-07,5.53E-06,1.92E-06,2.76E-06,4.11E-06,1.80E-06,2.05E-06,1.52E-05,6.51E-05,6.62E-07,7.22E-05
17131,243.124,4.728,6.92E-05,6.06E-05,2.48E-05,1.61E-05,2.08E-05,2.98E-07,6.06E-05,1.92E-06,2.01E-05,3.61E-05,2.23E-06,5.12E-06,3.39E-05,7.54E-05,5.72E-06,7.96E-05
14010,243.124,4.011,0.000709013,0.000427848,0.000373199,4.60E-05,6.60E-05,8.43E-06,0.000308038,2.54E-05,0.000105604,0.000634668,0.000143657,0.000179046,0.000291605,0.000419659,7.70E-05,0.000424732
14449,243.124,4.068,0.000276833,0.0001856,0.000131857,2.62E-05,3.24E-05,3.92E-06,0.000171127,2.11E-05,9.21E-05,0.000225013,4.31E-05,4.77E-05,0.000102949,8.06E-05,5.71E-05,0.000148668
